"日期","收入预估~iPad"
"2023-03-10","12338"
"2023-03-09","12452"
"2023-03-08","17635"
"2023-03-07","21090"
"2023-03-06","14427"
"2023-03-05","21137"
"2023-03-04","21065"
"2023-03-03","16088"
"2023-03-02","15089"
"2023-03-01","14820"
"2023-02-28","13636"
"2023-02-27","14313"
"2023-02-26","16069"
"2023-02-25","16865"
"2023-02-24","17022"
"2023-02-23","16750"
"2023-02-22","17671"
"2023-02-21","25923"
"2023-02-20","34230"
"2023-02-19","39600"
"2023-02-18","44956"
"2023-02-17","30073"
"2023-02-16","45314"
"2023-02-15","45405"
"2023-02-14","18419"
"2023-02-13","16838"
"2023-02-12","19412"
"2023-02-11","20814"
"2023-02-10","18354"
"2023-02-09","19572"
"2023-02-08","17566"
"2023-02-07","28108"
"2023-02-06","45617"
"2023-02-05","30307"
"2023-02-04","34154"
"2023-02-03","25798"
"2023-02-02","25974"
"2023-02-01","56786"
"2023-01-31","45581"
"2023-01-30","26235"
"2023-01-29","19065"
"2023-01-28","16334"
"2023-01-27","25967"
"2023-01-26","16107"
"2023-01-25","20277"
"2023-01-24","19372"
"2023-01-23","20401"
"2023-01-22","17604"
"2023-01-21","16103"
"2023-01-20","18430"
"2023-01-19","39064"
"2023-01-18","21093"
"2023-01-17","23484"
"2023-01-16","26145"
"2023-01-15","27991"
"2023-01-14","34332"
"2023-01-13","56178"
"2023-01-12","79414"
"2023-01-11","17739"
"2023-01-10","16070"
"2023-01-09","13616"
"2023-01-08","13793"
"2023-01-07","12465"
"2023-01-06","12274"
"2023-01-05","21045"
"2023-01-04","26108"
"2023-01-03","29616"
"2023-01-02","25123"
"2023-01-01","11797"
"2022-12-31","10842"
"2022-12-30","12152"
"2022-12-29","16718"
"2022-12-28","21135"
"2022-12-27","18551"
"2022-12-26","13492"
"2022-12-25","16146"
"2022-12-24","14215"
"2022-12-23","16161"
"2022-12-22","17254"
"2022-12-21","21129"
"2022-12-20","29881"
"2022-12-19","34222"
"2022-12-18","47282"
"2022-12-17","42089"
"2022-12-16","79590"
"2022-12-15","14430"
"2022-12-14","17609"
