"日期","收入预估~iPad"
"2022-11-15","5761"
"2022-11-14","5689"
"2022-11-13","5851"
"2022-11-12","5241"
"2022-11-11","5238"
"2022-11-10","5690"
"2022-11-09","6619"
"2022-11-08","5964"
"2022-11-07","7147"
"2022-11-06","8930"
"2022-11-05","8440"
"2022-11-04","5883"
"2022-11-03","7115"
"2022-11-02","9238"
"2022-11-01","12426"
"2022-10-31","13948"
"2022-10-30","17688"
"2022-10-29","0"
"2022-10-28","7682"
"2022-10-27","3158"
"2022-10-26","4081"
"2022-10-25","4651"
"2022-10-24","5739"
"2022-10-23","6354"
"2022-10-22","7022"
"2022-10-21","1616"
"2022-10-20","3086"
"2022-10-19","4278"
"2022-10-18","4287"
"2022-10-17","5167"
"2022-10-16","4944"
"2022-10-15","5427"
"2022-10-14","3773"
"2022-10-13","4308"
"2022-10-12","4368"
"2022-10-11","5472"
"2022-10-10","5696"
"2022-10-09","6131"
"2022-10-08","7885"
"2022-10-07","11784"
"2022-10-06","12346"
"2022-10-05","5105"
"2022-10-04","3665"
"2022-10-03","3713"
"2022-10-02","4238"
"2022-10-01","5486"
"2022-09-30","2209"
"2022-09-29","2733"
"2022-09-28","3443"
"2022-09-27","4016"
"2022-09-26","5130"
"2022-09-25","5611"
"2022-09-24","6147"
"2022-09-23","3102"
"2022-09-22","3103"
"2022-09-21","3715"
"2022-09-20","4215"
"2022-09-19","5289"
"2022-09-18","6756"
"2022-09-17","6400"
"2022-09-16","3654"
"2022-09-15","3369"
"2022-09-14","3561"
"2022-09-13","3653"
"2022-09-12","3655"
"2022-09-11","3543"
"2022-09-10","2829"
"2022-09-09","3170"
"2022-09-08","3070"
"2022-09-07","4046"
"2022-09-06","4973"
"2022-09-05","4572"
"2022-09-04","4608"
"2022-09-03","3639"
"2022-09-02","2701"
"2022-09-01","2791"
"2022-08-31","3012"
"2022-08-30","2975"
"2022-08-29","3479"
"2022-08-28","3558"
"2022-08-27","4072"
"2022-08-26","2425"
"2022-08-25","3262"
"2022-08-24","3075"
"2022-08-23","3927"
"2022-08-22","3079"
"2022-08-21","2914"
"2022-08-20","2837"
"2022-08-19","2807"
"2022-08-18","2588"
"2022-08-17","2834"
"2022-08-16","3226"
"2022-08-15","3223"
"2022-08-14","3395"
"2022-08-13","3549"
"2022-08-12","2461"
"2022-08-11","2603"
"2022-08-10","3727"
"2022-08-09","2728"
"2022-08-08","2836"
"2022-08-07","3213"
"2022-08-06","3543"
"2022-08-05","2291"
"2022-08-04","2630"
"2022-08-03","2565"
"2022-08-02","2598"
"2022-08-01","3264"
"2022-07-31","2626"
"2022-07-30","2539"
"2022-07-29","2466"
"2022-07-28","2486"
"2022-07-27","2551"
"2022-07-26","2633"
"2022-07-25","2536"
"2022-07-24","2786"
"2022-07-23","2867"
"2022-07-22","2664"
"2022-07-21","2764"
"2022-07-20","3071"
"2022-07-19","2837"
"2022-07-18","2865"
"2022-07-17","2823"
"2022-07-16","2852"
"2022-07-15","2142"
"2022-07-14","1937"
"2022-07-13","2506"
"2022-07-12","2429"
"2022-07-11","2535"
"2022-07-10","2426"
"2022-07-09","2580"
"2022-07-08","2532"
"2022-07-07","2606"
"2022-07-06","2656"
"2022-07-05","2818"
"2022-07-04","2834"
"2022-07-03","2874"
"2022-07-02","3187"
"2022-07-01","2661"
"2022-06-30","1865"
"2022-06-29","2987"
"2022-06-28","2216"
"2022-06-27","2535"
"2022-06-26","2535"
"2022-06-25","2558"
"2022-06-24","2150"
"2022-06-23","2608"
"2022-06-22","2361"
"2022-06-21","2483"
"2022-06-20","2536"
"2022-06-19","3250"
"2022-06-18","2580"
"2022-06-17","2762"
"2022-06-16","2877"
"2022-06-15","3446"
"2022-06-14","3255"
"2022-06-13","3560"
"2022-06-12","3565"
"2022-06-11","4146"
"2022-06-10","3086"
"2022-06-09","3444"
"2022-06-08","3401"
"2022-06-07","3455"
"2022-06-06","3362"
"2022-06-05","3193"
"2022-06-04","3234"
"2022-06-03","3342"
"2022-06-02","4062"
"2022-06-01","6245"
"2022-05-31","5791"
"2022-05-30","6524"
"2022-05-29","5826"
