Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.010528518,0.010547049,0.010540164,0.010527887,0.95785636
0.010528519,0.010547158,0.010540155,0.010527888,0.95785624
0.010528518,0.0105471425,0.010540158,0.010527887,0.95785624
0.010528517,0.010546886,0.01054015,0.010527886,0.9578566
0.018614957,0.7257208,0.018366583,0.21905558,0.01824209
0.007758471,0.777357,0.007781865,0.1989624,0.008140281
0.14722247,0.00822468,0.008075452,0.78854555,0.04793186
0.006758193,0.9729413,0.006850054,0.0067466465,0.006703782
0.86822027,0.007022267,0.0070171775,0.007171886,0.1105684
0.3538678,0.6081654,0.012567669,0.012725238,0.012673888
0.91036046,0.008496327,0.06412545,0.008336873,0.008680892
0.9646934,0.008864939,0.008803016,0.008938304,0.008700334
0.6483629,0.061640225,0.006606048,0.1816972,0.10169367
0.44459662,0.008109477,0.008042295,0.53124136,0.008010235
0.9373769,0.015551433,0.015536846,0.0155642275,0.015970608
0.015552122,0.015473504,0.015618096,0.93795,0.015406207
0.955225,0.011138441,0.011373473,0.011142827,0.011120277
0.79593223,0.008054189,0.17999202,0.0080210585,0.008000459
0.02901524,0.0288335,0.029460803,0.8841161,0.028574299
0.011919419,0.011969981,0.7436132,0.22069815,0.011799227
0.91462946,0.057692844,0.0091538215,0.009233158,0.009290762
0.018523993,0.69428116,0.018728942,0.18784055,0.080625385
0.0053128228,0.2982331,0.005273711,0.68586916,0.0053112265
0.94600964,0.013752393,0.013523771,0.0133795645,0.01333465
0.93306214,0.016723033,0.016816283,0.016729318,0.016669245
0.009747362,0.009743032,0.9613007,0.009683643,0.009525281
0.006100808,0.08353646,0.0061114402,0.86156327,0.04268799
0.26930964,0.011848708,0.011960349,0.6951156,0.011765638
0.19958211,0.012589302,0.7627744,0.012553529,0.012500627
0.95279855,0.01178802,0.011852871,0.011792734,0.011767791
0.041146897,0.0056366473,0.5116864,0.43595934,0.0055707064
0.010120132,0.010036444,0.9598311,0.010009609,0.010002678
0.15221785,0.012576341,0.810162,0.012541901,0.012501922
0.9688942,0.007737698,0.0077748187,0.0078950655,0.007698252
0.89888114,0.025103647,0.025350057,0.025662933,0.025002185
0.26936918,0.011848701,0.011960339,0.69505614,0.011765638
0.123482995,0.062013943,0.009069037,0.7967106,0.008723345
0.9573551,0.010627135,0.010802829,0.010680518,0.010534476
0.646855,0.028862063,0.029371236,0.028911578,0.26600015
0.7241262,0.006202265,0.0061790594,0.22706634,0.036426097
0.9262491,0.018244598,0.018776475,0.018536324,0.018193495
0.94255626,0.014346944,0.014412849,0.014376111,0.014307872
0.945973,0.0133967195,0.013458931,0.013403804,0.013767585
0.0066902367,0.97311807,0.0067272093,0.006689764,0.0067747287
0.018228577,0.5420862,0.3123986,0.018193608,0.10909298
0.011802344,0.4519672,0.4538562,0.011772483,0.07060178
0.0043775584,0.4630783,0.5237023,0.004406488,0.004435384
