"日期","1星","2星","3星","4星","5星"
"2022-01-23","748","31","40","32","151"
"2022-01-24","840","34","51","36","207"
"2022-01-25","822","47","58","25","161"
"2022-01-26","673","45","40","30","144"
"2022-01-27","810","30","50","18","174"
"2022-01-28","884","55","39","36","155"
"2022-01-29","2856","156","112","56","141"
"2022-01-30","1331","86","59","43","160"
"2022-01-31","807","34","46","23","176"
"2022-02-01","790","63","54","29","100"
"2022-02-02","631","29","22","20","139"
"2022-02-03","668","27","63","34","137"
"2022-02-04","587","32","42","24","163"
"2022-02-05","727","41","50","29","135"
"2022-02-06","620","39","49","26","127"
"2022-02-07","789","53","42","15","137"
"2022-02-08","815","55","61","40","171"
"2022-02-09","619","31","29","33","142"
"2022-02-10","640","14","62","19","122"
"2022-02-11","595","37","60","32","142"
"2022-02-12","831","44","52","32","138"
"2022-02-13","629","27","54","46","124"
"2022-02-14","647","38","46","32","135"
"2022-02-15","626","40","46","27","125"
"2022-02-16","569","21","31","20","111"
"2022-02-17","409","20","38","31","99"
"2022-02-18","459","17","38","28","84"
"2022-02-19","605","45","43","26","124"
"2022-02-20","443","37","35","20","136"
"2022-02-21","299","27","40","21","88"
"2022-02-22","437","67","92","65","347"
"2022-02-23","292","31","40","23","131"
"2022-02-24","254","15","29","13","89"
"2022-02-25","244","19","24","29","143"
"2022-02-26","486","37","52","37","201"
"2022-02-27","317","24","28","21","158"
"2022-02-28","185","17","12","18","74"
"2022-03-01","224","13","15","16","71"
"2022-03-02","135","5","9","14","28"
"2022-03-03","241","9","19","15","77"
"2022-03-04","213","21","12","19","73"
"2022-03-05","403","23","34","25","117"
"2022-03-06","480","23","37","27","137"
"2022-03-07","220","8","12","18","41"
"2022-03-08","143","3","9","8","36"
"2022-03-09","293","19","8","18","91"
"2022-03-10","209","8","6","11","39"
"2022-03-11","424","7","26","14","94"
"2022-03-12","502","17","24","29","142"
"2022-03-13","366","22","19","31","109"
"2022-03-14","176","15","10","14","61"
"2022-03-15","183","7","15","14","79"
"2022-03-16","273","17","20","17","84"
"2022-03-17","311","21","7","21","98"
"2022-03-18","360","21","25","19","95"
"2022-03-19","407","34","31","28","160"
"2022-03-20","350","30","31","17","116"
"2022-03-21","219","13","21","25","71"
"2022-03-22","218","9","18","8","90"
"2022-03-23","349","17","24","26","71"
"2022-03-24","310","12","24","28","87"
"2022-03-25","109","10","10","3","26"
"2022-03-26","703","42","50","41","172"
"2022-03-27","321","12","38","14","120"
"2022-03-28","303","22","31","18","74"
"2022-03-29","237","12","8","14","51"
"2022-03-30","324","19","38","14","99"
"2022-03-31","264","17","17","17","80"
"2022-04-01","315","11","28","23","101"
"2022-04-02","761","69","45","27","160"
"2022-04-03","427","22","41","29","126"
"2022-04-04","565","45","46","41","201"
"2022-04-05","442","23","26","20","77"
"2022-04-06","344","20","36","20","122"
"2022-04-07","307","15","23","23","64"
"2022-04-08","426","36","32","6","132"
"2022-04-09","550","29","44","13","140"
"2022-04-10","448","31","29","21","94"
"2022-04-11","233","16","11","15","58"
"2022-04-12","361","15","31","25","97"
"2022-04-13","168","7","21","20","43"
"2022-04-14","1253","150","223","149","631"
"2022-04-15","907","106","130","69","335"
"2022-04-16","748","73","104","65","264"
"2022-04-17","529","36","54","52","157"
"2022-04-18","275","22","24","20","91"
"2022-04-19","297","12","23","14","100"
"2022-04-20","201","22","13","17","78"
"2022-04-21","270","14","27","14","111"
"2022-04-22","288","16","17","20","75"
"2022-04-23","519","30","27","25","163"
"2022-04-24","406","25","17","18","74"
"2022-04-25","316","15","27","8","90"
"2022-04-26","267","4","14","8","69"
"2022-04-27","281","13","18","10","79"
"2022-04-28","286","22","37","18","60"
"2022-04-29","409","15","34","22","105"
"2022-04-30","379","18","32","26","147"
"2022-05-01","804","43","54","32","201"
"2022-05-02","639","39","35","22","149"
"2022-05-03","480","16","33","12","49"
"2022-05-04","602","23","17","17","89"
"2022-05-05","349","16","21","12","58"
"2022-05-06","310","5","20","7","63"
"2022-05-07","916","28","26","18","98"
"2022-05-08","623","35","34","12","145"
"2022-05-09","115","0","11","10","29"
"2022-05-10","570","19","21","22","99"
"2022-05-11","470","17","16","15","75"
"2022-05-12","399","4","3","14","82"
"2022-05-13","401","16","21","5","61"
"2022-05-14","724","39","31","27","126"
"2022-05-15","484","23","29","18","89"
"2022-05-16","520","18","16","11","77"
"2022-05-17","346","12","10","5","49"
"2022-05-18","445","12","12","14","46"
"2022-05-19","422","13","15","6","48"
"2022-05-20","671","22","14","12","86"
"2022-05-21","706","28","28","17","87"
"2022-05-22","694","25","23","25","89"
"2022-05-23","302","9","11","3","38"
"2022-05-24","0","0","0","0","0"
"2022-05-25","880","27","17","10","126"
"2022-05-26","261","1","5","3","31"
"2022-05-27","453","19","25","5","56"
"2022-05-28","769","32","36","25","127"
"2022-05-29","631","25","8","19","101"
"2022-05-30","425","17","10","8","40"
"2022-05-31","231","7","12","5","19"
"2022-06-01","606","21","11","8","46"
"2022-06-02","388","16","10","5","32"
"2022-06-03","840","39","28","26","81"
"2022-06-04","1010","41","42","19","115"
"2022-06-05","298","21","15","4","47"
"2022-06-06","0","0","0","0","0"
"2022-06-07","828073","64266","111205","98373","540554"
"2022-06-08","325","5","7","6","29"
"2022-06-09","415","18","26","-1","22"
"2022-06-10","268","11","7","3","18"
"2022-06-11","600","40","32","17","79"
"2022-06-12","739","21","31","17","86"
"2022-06-13","307","12","7","0","11"
"2022-06-14","519","11","19","2","55"
"2022-06-15","444","4","4","9","52"
"2022-06-16","334","11","13","8","35"
"2022-06-17","588","20","24","7","52"
"2022-06-18","498","21","7","19","70"
"2022-06-19","623","18","29","19","62"
"2022-06-20","605","13","16","7","53"
"2022-06-21","521","25","10","8","45"
"2022-06-22","485","11","4","7","21"
"2022-06-23","2228","107","116","66","266"
"2022-06-24","633","28","23","8","29"
"2022-06-25","1671","105","73","43","202"
"2022-06-26","1261","63","54","47","213"
"2022-06-27","502","29","17","13","43"
"2022-06-28","724","42","21","10","70"
"2022-06-29","771","24","31","16","98"
"2022-06-30","732","39","22","21","50"
"2022-07-01","601","44","27","22","79"
"2022-07-02","925","46","37","31","103"
"2022-07-03","893","32","35","24","89"
"2022-07-04","690","34","35","15","87"
"2022-07-05","277","18","14","14","47"
"2022-07-06","1026","57","43","21","129"
"2022-07-07","836","31","28","28","95"
"2022-07-08","937","46","32","22","99"
"2022-07-09","696","61","26","19","56"
"2022-07-10","835","19","23","24","68"
"2022-07-11","507","18","15","5","46"
"2022-07-12","944","30","25","27","81"
