"日期","下载量预估~iPhone"
"2022-10-25","38252"
"2022-10-24","38847"
"2022-10-23","42070"
"2022-10-22","38479"
"2022-10-21","39140"
"2022-10-20","30680"
"2022-10-19","39972"
"2022-10-18","31575"
"2022-10-17","31898"
"2022-10-16","32472"
"2022-10-15","36402"
"2022-10-14","31858"
"2022-10-13","31144"
"2022-10-12","32157"
"2022-10-11","34348"
"2022-10-10","34556"
"2022-10-09","39030"
"2022-10-08","38296"
"2022-10-07","37215"
"2022-10-06","39508"
"2022-10-05","36982"
"2022-10-04","36758"
"2022-10-03","32054"
"2022-10-02","31472"
"2022-10-01","41560"
"2022-09-30","37305"
"2022-09-29","31584"
"2022-09-28","36199"
"2022-09-27","34384"
"2022-09-26","42338"
"2022-09-25","37288"
"2022-09-24","38778"
"2022-09-23","41341"
"2022-09-22","27453"
"2022-09-21","42689"
"2022-09-20","38435"
"2022-09-19","41642"
"2022-09-18","30034"
"2022-09-17","30095"
"2022-09-16","27001"
"2022-09-15","36346"
"2022-09-14","42422"
"2022-09-13","33803"
"2022-09-12","35133"
"2022-09-11","40430"
"2022-09-10","40991"
"2022-09-09","39643"
"2022-09-08","41181"
"2022-09-07","39931"
"2022-09-06","38590"
"2022-09-05","36386"
"2022-09-04","35098"
"2022-09-03","40796"
"2022-09-02","33184"
"2022-09-01","32222"
"2022-08-31","32319"
"2022-08-30","36900"
"2022-08-29","24531"
"2022-08-28","32961"
"2022-08-27","29494"
"2022-08-26","28982"
"2022-08-25","31458"
"2022-08-24","30704"
"2022-08-23","31741"
"2022-08-22","29362"
"2022-08-21","27599"
"2022-08-20","25016"
"2022-08-19","26165"
"2022-08-18","25937"
"2022-08-17","24524"
"2022-08-16","24281"
"2022-08-15","23861"
"2022-08-14","22903"
"2022-08-13","21668"
"2022-08-12","24538"
"2022-08-11","22735"
"2022-08-10","25475"
"2022-08-09","27336"
"2022-08-08","24877"
"2022-08-07","25724"
"2022-08-06","28282"
"2022-08-05","32801"
"2022-08-04","29933"
"2022-08-03","33810"
"2022-08-02","28992"
"2022-08-01","33741"
"2022-07-31","33304"
"2022-07-30","31896"
"2022-07-29","31944"
"2022-07-28","32509"
"2022-07-27","30304"
"2022-07-26","27329"
"2022-07-25","34119"
"2022-07-24","33296"
"2022-07-23","32894"
"2022-07-22","36724"
"2022-07-21","34773"
"2022-07-20","28270"
"2022-07-19","34225"
"2022-07-18","29852"
"2022-07-17","31167"
"2022-07-16","29778"
"2022-07-15","30721"
"2022-07-14","31586"
"2022-07-13","32401"
"2022-07-12","33258"
"2022-07-11","34007"
"2022-07-10","34171"
"2022-07-09","33008"
"2022-07-08","33251"
"2022-07-07","33438"
"2022-07-06","34089"
"2022-07-05","33567"
"2022-07-04","36260"
"2022-07-03","36834"
"2022-07-02","34832"
"2022-07-01","33660"
"2022-06-30","34350"
"2022-06-29","35886"
"2022-06-28","36661"
"2022-06-27","38563"
"2022-06-26","39189"
"2022-06-25","38010"
"2022-06-24","39344"
"2022-06-23","40040"
"2022-06-22","39530"
"2022-06-21","41461"
"2022-06-20","44764"
"2022-06-19","45774"
"2022-06-18","47257"
"2022-06-17","50387"
"2022-06-16","50848"
"2022-06-15","33024"
"2022-06-14","33834"
"2022-06-13","36043"
"2022-06-12","36129"
"2022-06-11","35186"
"2022-06-10","34889"
"2022-06-09","33033"
"2022-06-08","31796"
"2022-06-07","31683"
"2022-06-06","34019"
"2022-06-05","36133"
"2022-06-04","35656"
"2022-06-03","31968"
"2022-06-02","29148"
"2022-06-01","31611"
"2022-05-31","33506"
"2022-05-30","35300"
"2022-05-29","34460"
"2022-05-28","33049"
"2022-05-27","31708"
"2022-05-26","31919"
"2022-05-25","32516"
"2022-05-24","33333"
"2022-05-23","34069"
"2022-05-22","34118"
"2022-05-21","32702"
"2022-05-20","32680"
"2022-05-19","33935"
"2022-05-18","33365"
"2022-05-17","33867"
"2022-05-16","34565"
"2022-05-15","35105"
"2022-05-14","33161"
"2022-05-13","33212"
"2022-05-12","32476"
"2022-05-11","31320"
"2022-05-10","31982"
"2022-05-09","32880"
"2022-05-08","32343"
"2022-05-07","32432"
"2022-05-06","33517"
"2022-05-05","35366"
"2022-05-04","35767"
"2022-05-03","36465"
"2022-05-02","36937"
"2022-05-01","35696"
"2022-04-30","33732"
"2022-04-29","31218"
"2022-04-28","31035"
"2022-04-27","30448"
"2022-04-26","31663"
"2022-04-25","33626"
"2022-04-24","34428"
"2022-04-23","35913"
"2022-04-22","36741"
"2022-04-21","36856"
"2022-04-20","27173"
"2022-04-19","28737"
"2022-04-18","29523"
"2022-04-17","30050"
"2022-04-16","30446"
"2022-04-15","30952"
"2022-04-14","31234"
"2022-04-13","29473"
"2022-04-12","29649"
"2022-04-11","30168"
"2022-04-10","30739"
"2022-04-09","31429"
"2022-04-08","31813"
"2022-04-07","32774"
"2022-04-06","34389"
"2022-04-05","35902"
"2022-04-04","35120"
"2022-04-03","34186"
"2022-04-02","33148"
"2022-04-01","33256"
"2022-03-31","32600"
"2022-03-30","32158"
"2022-03-29","34650"
"2022-03-28","36469"
"2022-03-27","38681"
"2022-03-26","38547"
"2022-03-25","38552"
"2022-03-24","36402"
"2022-03-23","35872"
"2022-03-22","35889"
"2022-03-21","36817"
"2022-03-20","37519"
"2022-03-19","33786"
"2022-03-18","34861"
"2022-03-17","35321"
"2022-03-16","33518"
"2022-03-15","34925"
"2022-03-14","35671"
"2022-03-13","35444"
"2022-03-12","34516"
"2022-03-11","34044"
"2022-03-10","34518"
"2022-03-09","35067"
"2022-03-08","35817"
"2022-03-07","36234"
"2022-03-06","36848"
"2022-03-05","35991"
"2022-03-04","35149"
"2022-03-03","35895"
"2022-03-02","36223"
"2022-03-01","36999"
"2022-02-28","37989"
"2022-02-27","40505"
"2022-02-26","40872"
"2022-02-25","41793"
"2022-02-24","36597"
"2022-02-23","33834"
"2022-02-22","33421"
"2022-02-21","34606"
"2022-02-20","34025"
"2022-02-19","33952"
"2022-02-18","33605"
"2022-02-17","32623"
"2022-02-16","31800"
"2022-02-15","30891"
"2022-02-14","32353"
"2022-02-13","33893"
"2022-02-12","34483"
"2022-02-11","35317"
"2022-02-10","36279"
"2022-02-09","38008"
"2022-02-08","39286"
"2022-02-07","42954"
"2022-02-06","45372"
"2022-02-05","46182"
"2022-02-04","49410"
"2022-02-03","49985"
"2022-02-02","51732"
"2022-02-01","50565"
"2022-01-31","50384"
"2022-01-30","51454"
"2022-01-29","52840"
"2022-01-28","56824"
"2022-01-27","60674"
"2022-01-26","65185"
"2022-01-25","64255"
"2022-01-24","38462"
"2022-01-23","39008"
"2022-01-22","38926"
"2022-01-21","38109"
"2022-01-20","37818"
"2022-01-19","36567"
"2022-01-18","36467"
"2022-01-17","37208"
"2022-01-16","37128"
"2022-01-15","35524"
"2022-01-14","34011"
"2022-01-13","35596"
"2022-01-12","35461"
"2022-01-11","36233"
"2022-01-10","37003"
"2022-01-09","35846"
"2022-01-08","35433"
"2022-01-07","36533"
"2022-01-06","37675"
"2022-01-05","35434"
"2022-01-04","36602"
"2022-01-03","37449"
"2022-01-02","38116"
"2022-01-01","35896"
"2021-12-31","33459"
"2021-12-30","35465"
"2021-12-29","36795"
"2021-12-28","37340"
"2021-12-27","37524"
"2021-12-26","37036"
"2021-12-25","35770"
"2021-12-24","34745"
"2021-12-23","35275"
"2021-12-22","35590"
"2021-12-21","36756"
"2021-12-20","37098"
"2021-12-19","37025"
"2021-12-18","35127"
"2021-12-17","34222"
"2021-12-16","33499"
"2021-12-15","33237"
"2021-12-14","35247"
"2021-12-13","35106"
"2021-12-12","35788"
"2021-12-11","34490"
"2021-12-10","34432"
"2021-12-09","35797"
"2021-12-08","35837"
"2021-12-07","36212"
"2021-12-06","37405"
"2021-12-05","37262"
"2021-12-04","36972"
"2021-12-03","36229"
"2021-12-02","38415"
"2021-12-01","39330"
"2021-11-30","41328"
"2021-11-29","43291"
"2021-11-28","43272"
"2021-11-27","42598"
"2021-11-26","39801"
"2021-11-25","42571"
"2021-11-24","44781"
"2021-11-23","46840"
"2021-11-22","49091"
"2021-11-21","49572"
