"日期","收入预估~iPad"
"2022-06-01","50627"
"2022-05-31","50636"
"2022-05-30","50705"
"2022-05-29","50901"
"2022-05-28","50823"
"2022-05-27","50698"
"2022-05-26","50909"
"2022-05-25","53500"
"2022-05-24","53490"
"2022-05-23","50481"
"2022-05-22","50643"
"2022-05-21","50513"
"2022-05-20","50900"
"2022-05-19","50688"
"2022-05-18","50901"
"2022-05-17","50723"
"2022-05-16","50590"
"2022-05-15","50490"
"2022-05-14","50472"
"2022-05-13","50547"
"2022-05-12","50802"
"2022-05-11","50850"
"2022-05-10","50453"
"2022-05-09","50449"
"2022-05-08","50554"
"2022-05-07","50868"
"2022-05-06","50733"
"2022-05-05","50801"
"2022-05-04","50872"
"2022-05-03","50549"
"2022-05-02","50933"
"2022-05-01","50503"
"2022-04-30","52227"
"2022-04-29","51994"
"2022-04-28","50770"
"2022-04-27","50678"
"2022-04-26","50627"
"2022-04-25","50924"
"2022-04-24","50819"
"2022-04-23","50585"
"2022-04-22","50559"
"2022-04-21","50713"
"2022-04-20","50762"
"2022-04-19","50670"
"2022-04-18","50476"
"2022-04-17","50725"
"2022-04-16","50711"
"2022-04-15","50796"
"2022-04-14","50569"
"2022-04-13","50823"
"2022-04-12","50823"
"2022-04-11","53700"
"2022-04-10","53107"
"2022-04-09","53503"
"2022-04-08","53368"
"2022-04-07","50904"
"2022-04-06","50574"
"2022-04-05","50770"
"2022-04-04","50538"
"2022-04-03","50830"
"2022-04-02","50911"
"2022-04-01","50754"
"2022-03-31","53131"
"2022-03-30","53766"
"2022-03-29","53982"
"2022-03-28","50686"
"2022-03-27","50729"
"2022-03-26","50538"
"2022-03-25","50491"
"2022-03-24","50887"
"2022-03-23","50916"
"2022-03-22","50563"
"2022-03-21","50543"
"2022-03-20","50465"
"2022-03-19","50902"
"2022-03-18","50810"
"2022-03-17","50620"
"2022-03-16","50559"
"2022-03-15","50669"
"2022-03-14","50923"
"2022-03-13","50589"
"2022-03-12","50917"
"2022-03-11","50492"
"2022-03-10","50815"
"2022-03-09","50469"
"2022-03-08","50655"
"2022-03-07","50530"
"2022-03-06","50705"
"2022-03-05","50862"
"2022-03-04","50847"
"2022-03-03","50647"
"2022-03-02","50772"
"2022-03-01","50505"
"2022-02-28","53551"
"2022-02-27","53496"
"2022-02-26","53895"
"2022-02-25","53622"
"2022-02-24","53517"
"2022-02-23","53322"
"2022-02-22","53406"
"2022-02-21","50465"
"2022-02-20","50839"
"2022-02-19","50609"
"2022-02-18","50636"
"2022-02-17","50458"
"2022-02-16","53312"
"2022-02-15","53724"
"2022-02-14","50824"
"2022-02-13","50551"
"2022-02-12","53553"
"2022-02-11","53602"
"2022-02-10","53689"
"2022-02-09","50799"
"2022-02-08","50502"
"2022-02-07","50501"
"2022-02-06","50471"
"2022-02-05","50916"
"2022-02-04","50682"
"2022-02-03","53489"
"2022-02-02","53471"
"2022-02-01","50567"
"2022-01-31","53406"
