ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2021/11/27,19,2,4,3,15
2021/11/28,14,3,0,3,12
2021/11/29,13,0,2,1,7
2021/11/30,5,0,0,0,8
2021/12/1,8,1,0,0,9
2021/12/2,6,2,2,1,7
2021/12/3,5,2,0,2,11
2021/12/4,23,1,3,6,27
2021/12/5,21,0,1,2,16
2021/12/6,6,0,1,1,0
2021/12/7,5,0,0,1,9
2021/12/8,7,0,2,1,10
2021/12/9,6,0,6,9,97
2021/12/10,14,4,6,7,88
2021/12/11,38,4,7,26,182
2021/12/12,33,12,6,10,112
2021/12/13,5,1,3,10,61
2021/12/14,1,2,0,0,9
2021/12/15,8,4,1,0,9
2021/12/16,21,3,2,2,18
2021/12/17,12,3,2,4,15
2021/12/18,23,1,4,2,34
2021/12/19,32,3,5,3,15
2021/12/20,11,2,-1,2,4
2021/12/21,9,2,2,1,6
2021/12/22,6,1,0,0,10
2021/12/23,10,1,1,1,9
2021/12/24,25,1,1,0,11
2021/12/25,37,4,1,4,29
2021/12/26,23,3,5,3,20
2021/12/27,8,4,0,1,3
2021/12/28,5,3,4,2,7
2021/12/29,6,2,0,0,8
2021/12/30,8,3,11,13,76
2021/12/31,18,1,6,25,160
2022/1/1,28,4,7,19,187
2022/1/2,29,4,10,9,121
2022/1/3,22,7,1,10,88
2022/1/4,8,1,7,6,52
2022/1/5,16,0,3,2,10
2022/1/6,14,6,1,4,9
2022/1/7,14,1,4,1,15
2022/1/8,46,5,2,3,19
2022/1/9,19,2,7,2,22
2022/1/10,25,3,0,1,5
2022/1/11,16,2,5,4,12
2022/1/12,32,1,5,2,8
2022/1/13,26,1,4,2,18
2022/1/14,22,3,3,6,20
2022/1/15,30,4,2,2,25
2022/1/16,31,1,2,4,42
2022/1/17,37,5,2,3,84
2022/1/18,34,3,4,4,438
2022/1/19,37,2,4,7,185
2022/1/20,38,6,11,16,259
2022/1/21,39,4,20,42,353
2022/1/22,60,6,13,34,148
2022/1/23,20,2,4,5,57
2022/1/24,12,3,3,1,33
2022/1/25,32,2,2,3,26
2022/1/26,21,4,2,8,31
