"日期","1星","2星","3星","4星","5星"
"2021-05-14","4","2","4","0","25"
"2021-05-15","8","3","2","8","47"
"2021-05-16","5","3","8","8","81"
"2021-05-17","3","-1","2","2","13"
"2021-05-18","3","-1","2","2","14"
"2021-05-19","1","0","1","3","13"
"2021-05-20","1","1","1","0","12"
"2021-05-21","1","0","3","0","10"
"2021-05-22","9","-1","3","1","31"
"2021-05-23","11","2","2","7","36"
"2021-05-24","2","0","2","1","13"
"2021-05-25","4","1","1","4","11"
"2021-05-26","5","1","2","1","15"
"2021-05-27","5","-1","0","1","3"
"2021-05-28","3","1","1","0","20"
"2021-05-29","6","2","-1","6","47"
"2021-05-30","9","3","0","10","48"
"2021-05-31","1","1","1","3","27"
"2021-06-01","4","1","4","4","-6"
"2021-06-02","0","0","0","1","9"
"2021-06-03","9","1","2","5","14"
"2021-06-04","3","4","1","1","16"
"2021-06-05","12","1","3","6","53"
"2021-06-06","5","4","3","4","41"
"2021-06-07","6","3","3","1","12"
"2021-06-08","5","0","0","7","28"
"2021-06-09","5","0","1","5","19"
"2021-06-10","1","0","2","4","9"
"2021-06-11","2","2","1","2","10"
"2021-06-12","11","1","3","6","40"
"2021-06-13","3","3","2","8","33"
"2021-06-14","9","3","5","1","26"
"2021-06-15","3","0","1","1","21"
"2021-06-16","1","2","0","2","18"
"2021-06-17","6","2","2","10","32"
"2021-06-18","3","1","2","3","34"
"2021-06-19","13","1","3","5","48"
"2021-06-20","7","0","3","14","51"
"2021-06-21","5","1","1","4","15"
"2021-06-22","4","1","1","0","18"
"2021-06-23","2","0","1","6","18"
"2021-06-24","2","0","2","3","17"
"2021-06-25","-3","-1","0","0","7"
"2021-06-26","5","5","6","7","40"
"2021-06-27","9","1","0","8","40"
"2021-06-28","6","-1","1","3","21"
"2021-06-29","-50","-7","-13","-16","-83"
"2021-06-30","11","3","4","9","31"
"2021-07-01","7","1","3","5","18"
"2021-07-02","2","0","2","6","10"
"2021-07-03","8","1","4","0","31"
"2021-07-04","4","0","3","9","23"
"2021-07-05","6","3","3","10","34"
"2021-07-06","14","2","7","9","67"
"2021-07-07","2","1","8","2","35"
"2021-07-08","7","3","4","8","45"
"2021-07-09","10","2","6","11","50"
