"日期","收入预估~iPhone"
"2023-04-23","362439"
"2023-04-22","376314"
"2023-04-21","266457"
"2023-04-20","227485"
"2023-04-19","313313"
"2023-04-18","334263"
"2023-04-17","474985"
"2023-04-16","508441"
"2023-04-15","621499"
"2023-04-14","352992"
"2023-04-13","289673"
"2023-04-12","310756"
"2023-04-11","326701"
"2023-04-10","354885"
"2023-04-09","377542"
"2023-04-08","415014"
"2023-04-07","421038"
"2023-04-06","491651"
"2023-04-05","562283"
"2023-04-04","615430"
"2023-04-03","665641"
"2023-04-02","778564"
"2023-04-01","1066383"
"2023-03-31","1218868"
"2023-03-30","1375345"
"2023-03-29","998618"
"2023-03-28","667093"
"2023-03-27","526937"
"2023-03-26","597487"
"2023-03-25","887347"
"2023-03-24","637431"
"2023-03-23","239289"
"2023-03-22","296249"
"2023-03-21","329944"
"2023-03-20","418115"
"2023-03-19","500135"
"2023-03-18","620937"
"2023-03-17","1052029"
"2023-03-16","650293"
"2023-03-15","348896"
"2023-03-14","444561"
"2023-03-13","554001"
"2023-03-12","600481"
"2023-03-11","603023"
"2023-03-10","373502"
"2023-03-09","167643"
"2023-03-08","184432"
"2023-03-07","206896"
"2023-03-06","254106"
"2023-03-05","312746"
"2023-03-04","332904"
"2023-03-03","325154"
"2023-03-02","239369"
"2023-03-01","249376"
"2023-02-28","280302"
"2023-02-27","333850"
"2023-02-26","422653"
"2023-02-25","463558"
"2023-02-24","449902"
"2023-02-23","452257"
"2023-02-22","527784"
"2023-02-21","506712"
"2023-02-20","603950"
"2023-02-19","672710"
"2023-02-18","882701"
"2023-02-17","960580"
"2023-02-16","575693"
"2023-02-15","713421"
"2023-02-14","440693"
"2023-02-13","361945"
"2023-02-12","401288"
"2023-02-11","494425"
"2023-02-10","430746"
"2023-02-09","359159"
"2023-02-08","384418"
"2023-02-07","483759"
"2023-02-06","620730"
"2023-02-05","689790"
"2023-02-04","998863"
"2023-02-03","948810"
"2023-02-02","530087"
"2023-02-01","810100"
"2023-01-31","900784"
"2023-01-30","1005814"
"2023-01-29","603637"
"2023-01-28","491003"
"2023-01-27","578292"
"2023-01-26","615455"
"2023-01-25","571324"
"2023-01-24","600224"
"2023-01-23","620446"
"2023-01-22","632945"
"2023-01-21","528365"
"2023-01-20","413578"
"2023-01-19","458037"
"2023-01-18","499409"
"2023-01-17","409057"
"2023-01-16","458465"
"2023-01-15","531800"
"2023-01-14","768800"
"2023-01-13","1050731"
"2023-01-12","1522976"
"2023-01-11","853826"
"2023-01-10","358661"
"2023-01-09","383775"
"2023-01-08","419385"
"2023-01-07","433420"
"2023-01-06","402756"
"2023-01-05","442820"
