ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ,
2020/9/25,4,2,0,0,35,4.463414634
2020/9/26,12,1,4,2,41,3.983333333
2020/9/27,4,1,1,4,6,3.4375
2020/9/28,7,0,0,3,24,4.088235294
2020/9/29,2,1,1,2,11,4.117647059
2020/9/30,1,0,0,2,17,4.7
2020/10/1,5,0,2,7,46,4.483333333
2020/10/2,18,4,1,3,48,3.797297297
2020/10/3,10,4,4,0,46,4.0625
2020/10/4,3,4,2,5,30,4.25
2020/10/5,12,3,4,4,47,4.014285714
2020/10/6,12,0,1,4,35,3.961538462
2020/10/7,9,2,5,2,49,4.194029851
2020/10/8,8,0,5,3,32,4.0625
2020/10/9,3,0,2,2,8,3.8
2020/10/10,3,0,1,1,16,4.285714286
2020/10/11,5,1,0,2,38,4.456521739
2020/10/12,1,0,2,3,13,4.421052632
2020/10/13,0,0,1,1,10,4.75
2020/10/14,0,1,0,2,3,4.166666667
2020/10/15,5,3,12,15,117,4.552631579
2020/10/16,8,2,16,28,240,4.666666667
2020/10/17,3,1,7,10,115,4.713235294
2020/10/18,23,5,9,30,321,4.600515464
2020/10/19,4,0,0,1,21,4.346153846
2020/10/20,1,0,0,1,6,4.375
2020/10/21,3,1,0,4,14,4.136363636
2020/10/22,0,0,0,0,0,#DIV/0!
2020/10/23,19443,3486,7027,10759,90982,4.141643318
2020/10/24,8,1,3,4,42,4.224137931
2020/10/25,6,1,0,1,18,3.923076923
2020/10/26,4,0,1,4,32,4.463414634
2020/10/27,3,1,0,1,3,3
2020/10/28,2,0,0,1,11,4.357142857
2020/10/29,6,0,7,23,153,4.677248677
2020/10/30,7,2,11,25,234,4.709677419
2020/10/31,7,0,9,10,161,4.700534759
2020/11/1,6,4,15,30,254,4.689320388
2020/11/2,0,0,1,2,12,4.733333333
2020/11/3,0,0,0,1,5,4.833333333
2020/11/4,-1,1,1,2,6,4.666666667
2020/11/5,2,1,1,2,8,3.928571429
2020/11/6,2,1,0,4,15,4.318181818
2020/11/7,10,1,1,4,30,3.934782609
2020/11/8,12,0,1,6,37,4
2020/11/9,1,0,1,1,1,3.25
2020/11/10,8,2,2,2,18,3.625
2020/11/11,1,0,1,2,7,4.272727273
2020/11/12,0,0,0,1,4,4.8
2020/11/13,5,0,3,0,9,3.470588235
2020/11/14,7,1,1,2,37,4.270833333
2020/11/15,4,2,1,1,29,4.324324324
2020/11/16,1,0,1,0,16,4.666666667
2020/11/17,4,1,1,2,9,3.647058824
2020/11/18,3,-1,0,0,12,4.357142857
2020/11/19,4,0,0,0,2,2.333333333
2020/11/20,4,0,2,1,5,3.25
2020/11/21,9,0,1,8,35,4.132075472
2020/11/22,10,0,2,1,18,3.548387097
2020/11/23,4,0,0,3,12,4
2020/11/24,0,1,2,0,10,4.461538462
2020/11/25,7,0,3,0,10,3.3
2020/11/26,1,0,1,0,3,3.8
2020/11/27,8,2,3,1,6,2.75
2020/11/28,9,2,2,5,33,4
2020/11/29,0,1,0,3,10,4.571428571
2020/11/30,4,2,3,2,13,3.75
2020/12/1,2,0,1,0,8,4.090909091
2020/12/2,0,0,0,0,0,#DIV/0!
2020/12/3,19621,3514,7111,10916,92330,4.144787703
2020/12/4,2,0,0,1,1,2.75
2020/12/5,5,2,1,2,30,4.25
2020/12/6,4,-1,0,1,12,4.125
2020/12/7,3,1,1,2,16,4.173913043
2020/12/8,4,1,2,5,17,4.034482759
2020/12/9,2,2,1,0,17,4.272727273
2020/12/10,5,3,2,4,13,3.62962963
2020/12/11,2,0,0,0,5,3.857142857
2020/12/12,0,0,1,0,8,4.777777778
2020/12/13,13,2,3,2,45,3.984615385
2020/12/14,0,0,1,0,8,4.777777778
2020/12/15,4,2,0,0,15,3.952380952
2020/12/16,1,0,1,0,2,3.5
2020/12/17,1,0,0,1,6,4.375
2020/12/18,0,1,1,1,9,4.5
2020/12/19,4,3,6,26,179,4.711009174
2020/12/20,5,2,9,31,194,4.68879668
2020/12/21,2,1,2,8,58,4.676056338
2020/12/22,2,0,5,6,82,4.747368421
2020/12/23,3,5,10,28,179,4.666666667
2020/12/24,6,2,8,17,86,4.470588235
2020/12/25,1,0,0,0,0,1
2020/12/26,5,1,1,3,30,4.3
2020/12/27,3,0,0,1,5,3.555555556
2020/12/28,7,0,2,2,22,3.96969697
2020/12/29,2,0,0,5,13,4.35
2020/12/30,1,0,2,1,5,4
2020/12/31,10,0,0,2,28,3.95
2021/1/1,4,0,1,0,4,3
2021/1/2,11,0,4,3,35,3.962264151
2021/1/3,6,1,2,1,15,3.72
2021/1/4,3,0,0,0,14,4.294117647
2021/1/5,3,1,0,1,11,4
2021/1/6,0,0,0,0,1,5
2021/1/7,7,2,1,1,25,3.972222222
2021/1/8,1,0,0,0,6,4.428571429
2021/1/9,3,2,1,1,9,3.6875
2021/1/10,11,1,2,6,22,3.642857143
2021/1/11,13,2,3,3,26,3.574468085
2021/1/12,1,0,1,1,9,4.416666667
2021/1/13,13,1,0,1,3,1.888888889
2021/1/14,0,0,0,0,0,#DIV/0!
2021/1/15,19818,3553,7204,11138,94004,4.149133859
2021/1/16,6,1,8,16,129,4.63125
2021/1/17,13,2,9,27,161,4.514150943
2021/1/18,4,1,6,8,75,4.585106383
2021/1/19,8,0,0,1,23,3.96875
2021/1/20,10,0,2,1,20,3.636363636
2021/1/21,9,2,2,2,18,3.545454545
2021/1/22,8,0,1,0,15,3.583333333
2021/1/23,8,2,0,2,24,3.888888889
2021/1/24,11,0,9,3,25,3.645833333
2021/1/25,4,1,0,2,15,4.045454545
2021/1/26,11,2,4,7,25,3.673469388
2021/1/27,5,2,4,4,13,3.642857143
2021/1/28,18,1,4,2,43,3.75
2021/1/29,10,0,3,0,29,3.904761905
2021/1/30,16,2,1,4,24,3.382978723
2021/1/31,8,0,1,2,28,4.076923077
2021/2/1,6,0,5,7,24,4.023809524
2021/2/2,12,3,2,7,45,4.014492754
2021/2/3,10,2,2,-1,22,3.6
2021/2/4,11,2,3,4,41,4.016393443
2021/2/5,9,0,3,3,22,3.783783784
2021/2/6,17,4,3,6,30,3.466666667
2021/2/7,12,0,3,6,32,3.867924528
2021/2/8,16,3,2,3,37,3.68852459
2021/2/9,13,1,2,1,39,3.928571429
2021/2/10,10,0,1,6,26,3.88372093
2021/2/11,12,2,5,2,33,3.777777778
2021/2/12,7,0,1,1,20,3.931034483
2021/2/13,8,2,4,4,28,3.913043478
2021/2/14,2,3,3,1,29,4.368421053
2021/2/15,11,2,6,5,51,4.106666667
2021/2/16,5,1,2,0,28,4.25
2021/2/17,7,2,3,3,25,3.925
2021/2/18,14,2,6,4,45,3.901408451
2021/2/19,3,3,5,3,41,4.381818182
2021/2/20,1,0,1,0,13,4.6
2021/2/21,16,5,4,5,46,3.789473684
2021/2/22,7,0,3,2,33,4.2
2021/2/23,11,1,2,10,55,4.227848101
2021/2/24,9,1,4,3,34,4.019607843
2021/2/25,22,5,7,2,40,3.434210526
2021/2/26,20,4,7,1,33,3.353846154
2021/2/27,8,1,2,6,23,3.875
2021/2/28,5,2,0,4,35,4.347826087
2021/3/1,6,0,2,1,6,3.066666667
2021/3/2,4,1,2,0,15,3.954545455
2021/3/3,1,1,1,0,12,4.4
2021/3/4,0,2,0,0,6,4.25
2021/3/5,0,0,0,0,0,#DIV/0!
2021/3/6,0,0,0,0,0,#DIV/0!
2021/3/7,0,0,0,0,0,#DIV/0!
2021/3/8,2,0,0,0,9,4.272727273
2021/3/9,2,0,1,1,8,4.083333333
2021/3/10,3,0,2,1,5,3.454545455
2021/3/11,4,0,1,0,4,3
2021/3/12,7,0,1,3,14,3.68
2021/3/13,13,1,1,2,31,3.770833333
2021/3/14,8,0,3,4,43,4.275862069
2021/3/15,4,1,0,2,14,4
2021/3/16,0,0,0,0,3,5
2021/3/17,3,1,0,1,15,4.2
2021/3/18,5,0,1,1,8,3.466666667
2021/3/19,2,1,2,0,11,4.0625
2021/3/20,3,1,1,2,34,4.536585366
2021/3/21,6,1,4,7,26,4.045454545
2021/3/22,1,0,1,1,11,4.5
2021/3/23,2,0,1,0,13,4.375
2021/3/24,2,1,5,18,112,4.717391304
2021/3/25,7,2,8,29,204,4.684
2021/3/26,6,2,8,21,233,4.751851852
2021/3/27,22,3,8,33,243,4.527508091
2021/3/28,7,2,2,8,35,4.148148148
