日期,一星,二星,三星,四星,五星,平均评分
2020/9/15,9,1,7,14,242,4.754578755
2020/9/16,6,3,5,25,214,4.731225296
2020/9/17,18,4,2,15,191,4.552173913
2020/9/18,14,3,8,9,203,4.620253165
2020/9/19,16,7,9,25,318,4.658666667
2020/9/20,12,19,34,62,926,4.77682811
2020/9/21,42,11,23,34,792,4.688470067
2020/9/22,8,0,10,14,204,4.720338983
2020/9/23,-4,6,4,10,204,4.909090909
2020/9/24,1,-5,3,14,260,4.967032967
2020/9/25,18,4,4,26,581,4.813586098
2020/9/26,10,-5,6,18,672,4.921540656
2020/9/27,32,19,22,78,1268,4.783650458
2020/9/28,8,10,7,24,346,4.746835443
2020/9/29,12,0,6,17,279,4.75477707
2020/9/30,8,5,7,12,310,4.786549708
2020/10/1,-2,4,13,14,651,4.935294118
2020/10/2,28,13,23,62,1512,4.841880342
2020/10/3,51,26,33,87,1548,4.750716332
2020/10/4,38,20,24,68,1292,4.772538141
2020/10/5,30,8,27,57,1181,4.804297774
2020/10/6,38,22,20,51,1035,4.734991424
2020/10/7,26,25,13,42,929,4.761352657
2020/10/8,32,14,25,36,892,4.743743744
2020/10/9,21,10,23,51,676,4.729833547
2020/10/10,2,0,7,11,200,4.85
2020/10/11,5,3,2,11,279,4.853333333
2020/10/12,21,17,17,34,539,4.676751592
2020/10/13,8,-3,6,3,168,4.791208791
2020/10/14,4,2,10,11,160,4.71657754
2020/10/15,10,4,12,12,161,4.557788945
2020/10/16,6,8,7,18,182,4.63800905
2020/10/17,5,-3,6,6,304,4.908805031
2020/10/18,25,15,22,39,745,4.730496454
2020/10/19,17,11,19,32,603,4.749266862
2020/10/20,19,7,7,11,201,4.502040816
2020/10/21,4,9,0,12,131,4.647435897
2020/10/22,5,4,2,6,146,4.742331288
2020/10/23,2,9,0,13,192,4.777777778
2020/10/24,10,9,5,22,261,4.67752443
2020/10/25,24,8,17,36,681,4.751958225
2020/10/26,22,10,16,49,648,4.732885906
2020/10/27,2,1,9,10,155,4.779661017
2020/10/28,8,2,9,8,180,4.690821256
2020/10/29,6,1,13,7,142,4.644970414
2020/10/30,9,5,6,17,193,4.652173913
2020/10/31,26,9,1,18,375,4.648018648
2020/11/1,45,33,35,68,991,4.644197952
2020/11/2,32,10,22,60,857,4.732925586
2020/11/3,3,13,3,3,170,4.6875
2020/11/4,8,3,21,23,202,4.587548638
2020/11/5,17,2,13,16,195,4.522633745
2020/11/6,25,1,9,21,241,4.521885522
2020/11/7,12,2,3,18,333,4.788043478
2020/11/8,37,12,18,42,743,4.692488263
2020/11/9,28,5,21,52,635,4.701754386
2020/11/10,4,-3,10,6,161,4.814606742
2020/11/11,15,2,6,18,166,4.536231884
2020/11/12,12,4,3,14,159,4.583333333
2020/11/13,4,1,4,15,213,4.82278481
2020/11/14,7,7,8,20,308,4.757142857
2020/11/15,15,8,10,53,668,4.791777188
2020/11/16,31,16,10,42,659,4.691292876
2020/11/17,5,5,9,13,175,4.68115942
2020/11/18,8,0,4,10,160,4.725274725
2020/11/19,12,3,2,13,194,4.669642857
2020/11/20,3,6,-1,17,172,4.771573604
2020/11/21,8,2,13,20,315,4.765363128
2020/11/22,23,-1,27,42,711,4.769326683
2020/11/23,27,10,11,45,690,4.738186462
2020/11/24,12,4,10,19,272,4.687697161
2020/11/25,0,4,9,8,192,4.821596244
2020/11/26,15,9,5,25,244,4.590604027
2020/11/27,4,4,-3,12,237,4.866141732
2020/11/28,9,9,-2,22,319,4.773109244
2020/11/29,25,11,23,36,792,4.757609921
2020/11/30,17,7,15,24,532,4.759663866
2020/12/1,13,4,16,15,237,4.610526316
2020/12/2,3,1,7,8,182,4.815920398
2020/12/3,6,4,3,5,126,4.673611111
2020/12/4,22,2,11,4,219,4.534883721
2020/12/5,3,5,5,20,156,4.698412698
2020/12/6,19,14,22,41,619,4.716083916
2020/12/7,18,5,12,32,553,4.769354839
2020/12/8,3,9,11,3,207,4.725321888
2020/12/9,12,4,2,28,187,4.605150215
2020/12/10,11,7,8,7,202,4.625531915
2020/12/11,1,7,4,23,162,4.715736041
2020/12/12,1,-1,0,4,50,4.907407407
2020/12/13,36,27,28,66,934,4.681943171
2020/12/14,24,11,17,47,664,4.724770642
2020/12/15,6,0,4,12,164,4.76344086
2020/12/16,13,-2,5,11,171,4.661616162
2020/12/17,13,3,8,16,156,4.525510204
2020/12/18,10,4,7,16,122,4.48427673
2020/12/19,4,2,10,27,294,4.795252226
2020/12/20,24,7,15,41,641,4.741758242
2020/12/21,10,3,16,41,522,4.793918919
2020/12/22,5,-1,9,15,152,4.722222222
2020/12/23,6,2,-4,8,137,4.798657718
2020/12/24,0,4,7,6,152,4.810650888
2020/12/25,15,0,2,7,168,4.630208333
2020/12/26,4,9,8,18,270,4.750809061
2020/12/27,9,15,5,31,569,4.806041335
2020/12/28,13,3,12,40,439,4.753451677
2020/12/29,0,0,0,0,0,#DIV/0!
2020/12/30,17,8,22,53,661,4.751642576
2020/12/31,9,4,7,11,227,4.717054264
2021/1/1,0,0,0,0,0,#DIV/0!
2021/1/2,29,12,31,57,1175,4.792177914
2021/1/3,3,-2,7,14,198,4.845454545
2021/1/4,28,5,29,58,1002,4.78342246
2021/1/5,1,1,2,1,50,4.781818182
2021/1/6,9,4,17,29,321,4.707894737
2021/1/7,0,0,0,0,0,#DIV/0!
2021/1/8,0,0,0,0,0,#DIV/0!
2021/1/9,22,16,11,32,528,4.688013136
2021/1/10,16,9,17,53,790,4.798870056
2021/1/11,13,6,12,47,548,4.774760383
2021/1/12,11,8,4,12,238,4.677655678
2021/1/13,3,4,5,2,304,4.886792453
2021/1/14,10,3,9,21,327,4.762162162
2021/1/15,5,8,12,36,354,4.74939759
2021/1/16,12,8,8,41,475,4.762867647
2021/1/17,27,14,17,44,728,4.725301205
2021/1/18,25,17,19,31,736,4.734299517
2021/1/19,14,0,13,15,400,4.780542986
2021/1/20,6,5,6,24,448,4.846625767
2021/1/21,13,8,5,35,504,4.785840708
2021/1/22,16,16,0,30,578,4.778125
2021/1/23,21,18,8,48,644,4.726657645
2021/1/24,33,8,29,50,843,4.725856698
2021/1/25,8,1,13,50,740,4.863300493
2021/1/26,23,8,27,46,708,4.733990148
2021/1/27,20,0,20,48,634,4.767313019
2021/1/28,21,4,15,32,695,4.794002608
2021/1/29,20,12,22,60,799,4.759036145
2021/1/30,37,4,38,57,916,4.72148289
2021/1/31,46,7,28,57,791,4.657696448
2021/2/1,52,19,24,79,1024,4.67278798
2021/2/2,40,8,27,63,978,4.730286738
2021/2/3,37,13,27,68,960,4.720361991
2021/2/4,24,-1,11,82,941,4.813623463
2021/2/5,33,16,37,62,971,4.717605004
2021/2/6,25,8,18,69,860,4.766326531
2021/2/7,26,13,24,47,927,4.770491803
2021/2/8,26,3,21,71,776,4.748049052
2021/2/9,31,12,23,47,869,4.742362525
2021/2/10,27,4,1,83,954,4.808231993
2021/2/11,17,2,17,70,1040,4.844677138
2021/2/12,25,17,14,85,1596,4.848013817
2021/2/13,34,7,26,77,1493,4.825290165
2021/2/14,23,16,24,78,1337,4.820027064
2021/2/15,27,18,27,82,1323,4.798239675
2021/2/16,19,23,32,70,1203,4.792873051
2021/2/17,45,18,48,73,1214,4.711731044
2021/2/18,34,10,33,86,1032,4.733891213
2021/2/19,39,16,23,72,886,4.689189189
2021/2/20,28,5,12,38,748,4.772563177
2021/2/21,31,16,33,50,851,4.706422018
2021/2/22,19,9,22,47,660,4.743725231
2021/2/23,14,4,8,36,584,4.814241486
2021/2/24,26,3,14,42,733,4.776283619
2021/2/25,25,15,27,43,663,4.686934023
2021/2/26,25,2,6,41,593,4.76161919
2021/2/27,20,24,14,41,783,4.749433107
2021/2/28,19,12,18,79,969,4.793072015
2021/3/1,26,16,32,57,830,4.715920916
2021/3/2,17,4,9,12,345,4.715762274
2021/3/3,13,4,11,24,251,4.636963696
2021/3/4,18,12,6,36,303,4.584
2021/3/5,10,8,6,11,349,4.7734375
2021/3/6,22,3,23,34,499,4.69535284
2021/3/7,24,24,31,71,1071,4.753480753
2021/3/8,35,13,27,67,946,4.724264706
2021/3/9,5,1,4,29,373,4.854368932
2021/3/10,15,1,8,8,271,4.712871287
2021/3/11,-10,1,4,9,234,5.084033613
2021/3/12,-4,-1,7,27,272,4.926910299
2021/3/13,9,6,18,24,438,4.76969697
2021/3/14,22,20,32,55,1035,4.770618557
2021/3/15,20,7,21,33,791,4.798165138
2021/3/16,7,2,5,17,252,4.784452297
2021/3/17,7,5,10,26,207,4.650980392
2021/3/18,12,0,9,19,219,4.671814672
2021/3/19,7,-3,10,7,235,4.8203125
2021/3/20,13,7,3,28,345,4.72979798
2021/3/21,27,12,24,71,865,4.736736737
2021/3/22,20,13,13,39,691,4.762886598
2021/3/23,2,2,12,2,214,4.827586207
2021/3/24,8,4,9,10,193,4.678571429
2021/3/25,-1,22,17,42,116,4.295918367
2021/3/26,73,46,79,159,1170,4.510805501
2021/3/27,42,23,42,103,808,4.583497053
2021/3/28,36,27,51,114,1265,4.704621567
2021/3/29,31,20,35,68,892,4.692160612
2021/3/30,2,11,-6,36,236,4.76702509
2021/3/31,18,1,13,9,138,4.38547486
2021/4/1,19,-5,6,29,156,4.502439024
2021/4/2,21,16,13,38,263,4.441595442
2021/4/3,43,10,30,60,582,4.555862069
2021/4/4,59,19,33,82,1475,4.735611511
2021/4/5,66,32,34,149,1535,4.682268722
2021/4/6,25,15,32,60,934,4.747654784
2021/4/7,-23,-25,-28,-66,-165,4.058631922
2021/4/8,11,3,8,19,277,4.72327044
2021/4/9,-7,-11,-6,11,228,5.288372093
2021/4/10,6,11,4,32,314,4.735694823
2021/4/11,22,13,15,76,947,4.782851817
2021/4/12,31,8,17,47,785,4.742117117
2021/4/13,13,3,12,22,203,4.577075099
2021/4/14,2,3,6,11,213,4.829787234
2021/4/15,15,-7,6,24,220,4.709302326
2021/4/16,6,3,6,19,278,4.794871795
2021/4/17,11,-4,6,34,394,4.823129252
2021/4/18,19,17,9,52,786,4.776896942
2021/4/19,22,7,2,47,692,4.792207792
2021/4/20,-2,-3,8,8,210,4.968325792
2021/4/21,13,-1,-1,19,188,4.697247706
2021/4/22,22,5,10,10,196,4.452674897
2021/4/23,-2,-1,7,12,184,4.925
2021/4/24,1,3,8,2,67,4.617283951
2021/4/25,48,11,27,78,1097,4.716891356
2021/4/26,0,0,0,0,0,#DIV/0!
2021/4/27,12,8,15,21,297,4.651558074
2021/4/28,29,2,17,38,394,4.595833333
2021/4/29,21,8,11,22,292,4.570621469
2021/4/30,0,5,3,11,243,4.877862595
2021/5/1,1,2,7,29,457,4.893145161
2021/5/2,28,6,26,43,967,4.789719626
2021/5/3,32,11,38,73,1077,4.748172218
2021/5/4,24,9,12,57,879,4.79204893
2021/5/5,29,9,24,65,861,4.740890688
2021/5/6,20,7,9,35,582,4.764165391
2021/5/7,11,-5,5,22,179,4.712264151
2021/5/8,5,-1,4,21,177,4.776699029
2021/5/9,26,7,11,27,278,4.501432665
2021/5/10,22,12,10,40,561,4.714728682
2021/5/11,10,2,6,14,188,4.672727273
2021/5/12,6,-1,7,21,200,4.759656652
2021/5/13,27,7,12,14,219,4.401433692
2021/5/14,9,7,12,28,228,4.616197183
2021/5/15,16,-6,15,24,367,4.759615385
2021/5/16,44,10,31,50,843,4.674846626
2021/5/17,28,8,15,50,741,4.743467933
2021/5/18,11,-2,1,21,209,4.745833333
2021/5/19,4,4,2,10,219,4.824267782
2021/5/20,4,4,7,11,185,4.748815166
2021/5/21,7,2,-1,6,209,4.829596413
2021/5/22,11,-1,12,20,326,4.769021739
2021/5/23,26,6,16,43,735,4.761501211
2021/5/24,31,7,12,49,648,4.708165997
2021/5/25,9,2,4,10,209,4.743589744
2021/5/26,8,-2,16,8,178,4.682692308
2021/5/27,14,3,-2,28,212,4.650980392
2021/5/28,7,4,11,10,222,4.716535433
2021/5/29,9,5,7,28,203,4.630952381
2021/5/30,22,10,16,52,797,4.774804905
2021/5/31,29,11,14,47,594,4.677697842
2021/6/1,-2,1,5,23,253,4.9
2021/6/2,4,4,8,13,432,4.876355748
2021/6/3,16,4,21,11,192,4.471311475
2021/6/4,22,2,7,41,198,4.448148148
2021/6/5,10,7,7,7,295,4.748466258
2021/6/6,30,18,21,60,776,4.695027624
