日期,1星,2星,3星,4星,5星,abs1,abs2,abs3,abs4,abs5,平均评分
2020/10/1,0,0,0,0,1,0,0,0,0,1,5
2020/10/2,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/3,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/4,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/5,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/6,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/7,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/8,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/10/9,1,0,1,0,5,1,0,1,0,5,4.142857143
2020/10/10,6,0,-1,1,9,6,0,1,1,9,3.411764706
2020/10/11,6,1,-1,4,35,6,1,1,4,35,4.29787234
2020/10/12,3,0,0,2,15,3,0,0,2,15,4.3
2020/10/13,3,0,0,1,5,3,0,0,1,5,3.555555556
2020/10/14,4,1,-1,5,14,4,1,1,5,14,3.96
2020/10/15,-3,1,1,2,30,3,1,1,2,30,4.486486486
2020/10/16,56,6,32,75,579,56,6,32,75,579,4.490641711
2020/10/17,6,1,-2,13,98,6,1,2,13,98,4.633333333
2020/10/18,10,-1,3,16,119,10,1,3,16,119,4.563758389
2020/10/19,-2,0,1,-1,20,2,0,1,1,20,4.541666667
2020/10/20,4,2,3,6,39,4,2,3,6,39,4.37037037
2020/10/21,3,0,3,2,7,3,0,3,2,7,3.666666667
2020/10/22,8,1,3,3,24,8,1,3,3,24,3.871794872
2020/10/23,6,0,0,4,29,6,0,0,4,29,4.282051282
2020/10/24,2,5,2,9,65,2,5,2,9,65,4.56626506
2020/10/25,-1,1,1,2,15,1,1,1,2,15,4.45
2020/10/26,12,1,3,11,78,12,1,3,11,78,4.352380952
2020/10/27,2,0,3,2,8,2,0,3,2,8,3.933333333
2020/10/28,3,1,-1,2,21,3,1,1,2,21,4.321428571
2020/10/29,1,2,0,1,8,1,2,0,1,8,4.083333333
2020/10/30,9,0,3,3,29,9,0,3,3,29,3.977272727
2020/10/31,9,1,3,2,19,9,1,3,2,19,3.617647059
2020/11/1,2,0,1,3,25,2,0,1,3,25,4.580645161
2020/11/2,3,0,3,0,20,3,0,3,0,20,4.307692308
2020/11/3,1,1,-1,1,3,1,1,1,1,3,3.571428571
2020/11/4,1,3,-1,2,9,1,3,1,2,9,3.9375
2020/11/5,9,0,6,19,83,9,0,6,19,83,4.427350427
2020/11/6,0,0,1,1,12,0,0,1,1,12,4.785714286
2020/11/7,12,0,1,4,29,12,0,1,4,29,3.826086957
2020/11/8,16,1,13,19,131,16,1,13,19,131,4.377777778
2020/11/9,3,1,0,6,26,3,1,0,6,26,4.416666667
2020/11/10,4,1,2,3,24,4,1,2,3,24,4.235294118
2020/11/11,-4,1,-3,0,-9,4,1,3,0,9,3.529411765
2020/11/12,-9,1,-2,1,-17,9,1,2,1,17,3.533333333
2020/11/13,5,1,2,4,26,5,1,2,4,26,4.184210526
2020/11/14,9,3,3,8,93,9,3,3,8,93,4.49137931
2020/11/15,5,3,7,6,70,5,3,7,6,70,4.461538462
2020/11/16,0,0,0,1,17,0,0,0,1,17,4.944444444
