"date","earning"
"2023-04-03","3697756"
"2023-04-02","3694577"
"2023-04-01","3739189"
"2023-03-31","3701904"
"2023-03-30","3707324"
"2023-03-29","3669095"
"2023-03-28","3702902"
"2023-03-27","3723293"
"2023-03-26","3736510"
"2023-03-25","3468616"
"2023-03-24","1697212"
"2023-03-23","1699460"
"2023-03-22","1722172"
"2023-03-21","2459937"
"2023-03-20","3735261"
"2023-03-19","3711622"
"2023-03-18","3689587"
"2023-03-17","3135489"
"2023-03-16","2337371"
"2023-03-15","3458701"
"2023-03-14","3656696"
"2023-03-13","3661757"
"2023-03-12","3694462"
"2023-03-11","3655171"
"2023-03-10","2872150"
"2023-03-09","2337041"
"2023-03-08","2323124"
"2023-03-07","3652459"
"2023-03-06","3722569"
"2023-03-05","3698945"
"2023-03-04","3687217"
"2023-03-03","3659315"
"2023-03-02","2682696"
"2023-03-01","3188902"
"2023-02-28","3702025"
"2023-02-27","3684110"
"2023-02-26","3664242"
"2023-02-25","3679282"
"2023-02-24","3531006"
"2023-02-23","3013521"
"2023-02-22","3029997"
"2023-02-21","3723181"
"2023-02-20","3649554"
"2023-02-19","3690640"
"2023-02-18","3657878"
"2023-02-17","3719322"
"2023-02-16","3670556"
"2023-02-15","3720009"
"2023-02-14","3679899"
"2023-02-13","3728052"
"2023-02-12","3677974"
"2023-02-11","3691976"
"2023-02-10","2335230"
"2023-02-09","2316567"
"2023-02-08","2363871"
"2023-02-07","3545050"
"2023-02-06","3704161"
"2023-02-05","3625383"
"2023-02-04","3678042"
"2023-02-03","3658634"
"2023-02-02","3685999"
"2023-02-01","3687838"
"2023-01-31","3666761"
"2023-01-30","3653696"
"2023-01-29","3687227"
"2023-01-28","3696532"
"2023-01-27","3686496"
"2023-01-26","3713140"
"2023-01-25","3689857"
"2023-01-24","3721448"
"2023-01-23","3714472"
"2023-01-22","3708292"
"2023-01-21","3702610"
"2023-01-20","3675423"
"2023-01-19","3704227"
"2023-01-18","3674245"
"2023-01-17","3723245"
"2023-01-16","3676893"
"2023-01-15","3680155"
"2023-01-14","3701157"
"2023-01-13","1978323"
"2023-01-12","2094255"
"2023-01-11","2390414"
"2023-01-10","2334174"
"2023-01-09","2509819"
"2023-01-08","3727301"
"2023-01-07","3724206"
"2023-01-06","3670604"
"2023-01-05","3671254"
"2023-01-04","3731762"
"2023-01-03","3729284"
"2023-01-02","3687318"
"2023-01-01","3712779"
"2022-12-31","3738762"
"2022-12-30","2348321"
"2022-12-29","2255174"
"2022-12-28","1702886"
"2022-12-27","3460358"
"2022-12-26","3717034"
"2022-12-25","3679582"
"2022-12-24","3698814"
"2022-12-23","3696811"
"2022-12-22","3701083"
"2022-12-21","3660102"
"2022-12-20","3679466"
"2022-12-19","3669404"
"2022-12-18","3737354"
"2022-12-17","3655925"
"2022-12-16","3547876"
"2022-12-15","2331567"
"2022-12-14","1702979"
"2022-12-13","1687210"
"2022-12-12","1716745"
"2022-12-11","1643097"
"2022-12-10","1382205"
"2022-12-09","1421611"
"2022-12-08","1705091"
"2022-12-07","2110396"
"2022-12-06","2700081"
"2022-12-05","3733129"
"2022-12-04","3662292"
"2022-12-03","3662849"
"2022-12-02","3029607"
"2022-12-01","3712897"
"2022-11-30","3696297"
"2022-11-29","3745146"
"2022-11-28","3721245"
"2022-11-27","3689259"
"2022-11-26","3697615"
"2022-11-25","3706407"
"2022-11-24","2979195"
"2022-11-23","2493918"
"2022-11-22","3683116"
"2022-11-21","3681017"
"2022-11-20","3714717"
"2022-11-19","3694434"
"2022-11-18","3709319"
"2022-11-17","3721973"
"2022-11-16","3714751"
"2022-11-15","3693745"
"2022-11-14","3700617"
"2022-11-13","3721128"
"2022-11-12","3692357"
"2022-11-11","3156010"
"2022-11-10","2885665"
"2022-11-09","2415154"
"2022-11-08","3686864"
"2022-11-07","3690474"
"2022-11-06","3661480"
"2022-11-05","3502141"
"2022-11-04","2349586"
"2022-11-03","2356566"
"2022-11-02","3207457"
"2022-11-01","3727887"
"2022-10-31","3705151"
"2022-10-30","1889996"
"2022-10-29","3030650"
"2022-10-28","1879509"
"2022-10-27","1893903"
"2022-10-26","1887018"
"2022-10-25","1893020"
"2022-10-24","1882064"
"2022-10-23","1889629"
"2022-10-22","1897991"
"2022-10-21","1887962"
"2022-10-20","1884609"
"2022-10-19","2359697"
"2022-10-18","3530885"
"2022-10-17","3689122"
"2022-10-16","3693120"
"2022-10-15","3702980"
"2022-10-14","3137818"
"2022-10-13","2351985"
"2022-10-12","2362952"
"2022-10-11","2387579"
"2022-10-10","3362303"
"2022-10-09","3683759"
"2022-10-08","3721270"
"2022-10-07","3737136"
"2022-10-06","3681209"
"2022-10-05","3678595"
"2022-10-04","3692488"
"2022-10-03","3702457"
"2022-10-02","3698720"
"2022-10-01","3653071"
"2022-09-30","3654239"
"2022-09-29","2336666"
"2022-09-28","3200380"
"2022-09-27","3694021"
"2022-09-26","3727130"
"2022-09-25","3695378"
"2022-09-24","3703549"
"2022-09-23","3732249"
"2022-09-22","2846377"
"2022-09-21","2359190"
"2022-09-20","2343613"
"2022-09-19","3329084"
"2022-09-18","3710045"
"2022-09-17","3662138"
"2022-09-16","3006767"
"2022-09-15","2364748"
"2022-09-14","2322963"
"2022-09-13","3376850"
"2022-09-12","3693559"
"2022-09-11","3743117"
"2022-09-10","3691663"
"2022-09-09","3707349"
"2022-09-08","2871378"
"2022-09-07","2595396"
"2022-09-06","3670250"
"2022-09-05","3693475"
"2022-09-04","3706626"
"2022-09-03","3707754"
"2022-09-02","2816543"
"2022-09-01","2322735"
"2022-08-31","2527007"
"2022-08-30","3726812"
"2022-08-29","3702976"
"2022-08-28","3713140"
"2022-08-27","3717701"
"2022-08-26","3662616"
"2022-08-25","2797140"
"2022-08-24","3206259"
"2022-08-23","3715832"
"2022-08-22","3737011"
"2022-08-21","3673435"
"2022-08-20","3728107"
"2022-08-19","3703795"
"2022-08-18","3714001"
"2022-08-17","3680643"
"2022-08-16","3704591"
"2022-08-15","3695674"
"2022-08-14","3708795"
"2022-08-13","3698336"
"2022-08-12","3576447"
"2022-08-11","2330309"
"2022-08-10","2510336"
"2022-08-09","3677683"
"2022-08-08","3665259"
"2022-08-07","3684376"
"2022-08-06","3710746"
"2022-08-05","3669872"
"2022-08-04","3675544"
"2022-08-03","3670873"
"2022-08-02","3733279"
"2022-08-01","3674454"
"2022-07-31","3695038"
"2022-07-30","3686310"
"2022-07-29","3534367"
"2022-07-28","3727184"
"2022-07-27","3663240"
"2022-07-26","3704196"
"2022-07-25","3721535"
"2022-07-24","3726850"
"2022-07-23","3674767"
"2022-07-22","3708261"
"2022-07-21","3700707"
"2022-07-20","3683847"
"2022-07-19","3691547"
"2022-07-18","3727841"
"2022-07-17","3686951"
"2022-07-16","3694264"
"2022-07-15","3248944"
"2022-07-14","1663442"
"2022-07-13","2088653"
"2022-07-12","2521052"
"2022-07-11","3635512"
"2022-07-10","3524645"
"2022-07-09","3213271"
"2022-07-08","3675658"
"2022-07-07","3702913"
"2022-07-06","2712476"
"2022-07-05","2268186"
"2022-07-04","3700629"
"2022-07-03","3704323"
"2022-07-02","3685910"
"2022-07-01","3661654"
"2022-06-30","3667779"
"2022-06-29","3693943"
"2022-06-28","3679881"
"2022-06-27","3674283"
"2022-06-26","3710307"
"2022-06-25","3683608"
"2022-06-24","3728452"
"2022-06-23","3046433"
"2022-06-22","3712087"
"2022-06-21","3719394"
"2022-06-20","3664565"
"2022-06-19","3670584"
"2022-06-18","3673302"
"2022-06-17","3699713"
"2022-06-16","3688121"
"2022-06-15","3214285"
"2022-06-14","3705639"
"2022-06-13","3715204"
"2022-06-12","3718327"
"2022-06-11","3702173"
"2022-06-10","3029225"
"2022-06-09","3483830"
"2022-06-08","3716817"
"2022-06-07","3690940"
"2022-06-06","3699564"
"2022-06-05","3672452"
"2022-06-04","3717415"
"2022-06-03","3730801"
"2022-06-02","2844209"
"2022-06-01","2357514"
"2022-05-31","3191241"
"2022-05-30","3729072"
"2022-05-29","3682620"
"2022-05-28","2591139"
"2022-05-27","3697612"
"2022-05-26","3716786"
"2022-05-25","3684596"
"2022-05-24","3725817"
"2022-05-23","3678298"
"2022-05-22","3726470"
"2022-05-21","3697932"
"2022-05-20","3710835"
"2022-05-19","3018387"
"2022-05-18","3695925"
"2022-05-17","3735186"
"2022-05-16","3678969"
"2022-05-15","3707843"
"2022-05-14","3674472"
"2022-05-13","3679446"
"2022-05-12","3704876"
"2022-05-11","3698277"
"2022-05-10","3677407"
"2022-05-09","3734810"
"2022-05-08","3706017"
"2022-05-07","2825093"
"2022-05-06","3165690"
"2022-05-05","3674376"
"2022-05-04","3719852"
"2022-05-03","3709611"
"2022-05-02","3703331"
"2022-05-01","3697705"
"2022-04-30","3713289"
"2022-04-29","3692903"
"2022-04-28","3678740"
"2022-04-27","3682795"
"2022-04-26","3708507"
"2022-04-25","3713754"
"2022-04-24","3686493"
"2022-04-23","3694380"
"2022-04-22","3722665"
"2022-04-21","2431068"
"2022-04-20","1698200"
"2022-04-19","3355820"
"2022-04-18","3665195"
"2022-04-17","3721359"
"2022-04-16","3704188"
"2022-04-15","3722566"
"2022-04-14","3023648"
"2022-04-13","2351279"
"2022-04-12","3652915"
"2022-04-11","3708387"
"2022-04-10","3683416"
"2022-04-09","3715823"
"2022-04-08","3693575"
"2022-04-07","3674061"
"2022-04-06","3697278"
"2022-04-05","3720586"
"2022-04-04","3666779"
"2022-04-03","3692936"
"2022-04-02","3686866"
"2022-04-01","3696208"
"2022-03-31","3029931"
"2022-03-30","3178034"
"2022-03-29","3726002"
"2022-03-28","3746479"
"2022-03-27","3705879"
"2022-03-26","3668742"
"2022-03-25","3681333"
"2022-03-24","3719433"
"2022-03-23","3731166"
"2022-03-22","3728214"
"2022-03-21","3697888"
"2022-03-20","3696884"
"2022-03-19","3666083"
"2022-03-18","3734903"
"2022-03-17","3712384"
"2022-03-16","3679682"
"2022-03-15","3661909"
"2022-03-14","3682933"
"2022-03-13","3685910"
"2022-03-12","3691367"
"2022-03-11","3428976"
"2022-03-10","2101670"
"2022-03-09","2361312"
"2022-03-08","3588361"
"2022-03-07","3657119"
"2022-03-06","3745472"
"2022-03-05","3705193"
"2022-03-04","3720705"
"2022-03-03","3678821"
"2022-03-02","3682371"
"2022-03-01","3697214"
"2022-02-28","3705733"
"2022-02-27","3656968"
"2022-02-26","3699210"
"2022-02-25","3735598"
"2022-02-24","3675436"
"2022-02-23","3670506"
"2022-02-22","3718946"
"2022-02-21","3671081"
"2022-02-20","3668473"
"2022-02-19","3712458"
"2022-02-18","3661739"
"2022-02-17","3733839"
"2022-02-16","3694833"
"2022-02-15","3711032"
"2022-02-14","3718043"
"2022-02-13","3696968"
"2022-02-12","3697760"
"2022-02-11","3678410"
"2022-02-10","3042482"
"2022-02-09","2366819"
"2022-02-08","3589166"
"2022-02-07","3673614"
"2022-02-06","2975596"
"2022-02-05","3426400"
"2022-02-04","3702952"
"2022-02-03","3682227"
"2022-02-02","3698283"
"2022-02-01","3713770"
"2022-01-31","3718807"
"2022-01-30","3725607"
"2022-01-29","3673000"
"2022-01-28","3116001"
"2022-01-27","1774233"
"2022-01-26","1797096"
"2022-01-25","3599855"
"2022-01-24","3717639"
"2022-01-23","3669937"
